Days post RhCMV,JP01 (CD4+ depl CMV-seropositive Reinfected),KB91 (CD4+ depl CMV-seropositive Reinfected),KK24 (CD4+ depl CMV-seropositive Reinfected),274-05 (CD4+ depl CMV-seropositive Reinfected),292-09 (CD4+ depl CMV-seropositive Reinfected),234-07 (CD4+ depl CMV-seropositive),309-09 (CD4+ depl CMV-seropositive),222-02 (CD4+ depl CMV-seropositive),145-97 (CD4+ depl CMV-seronegative primary infection),396-09 (CD4+ depl CMV-seronegative primary infection),174-97 (CD4+ depl CMV-seronegative primary infection),274-98 (CD4+ depl CMV-seronegative primary infection),GM04 (CD4+ depl CMV-seronegative primary infection),HD79 (CD4+ depl CMV-seronegative primary infection),ME72 (CMV-seronegative primary infection) male,MH81 CMV-seronegative primary infection),MI64 CMV-seronegative primary infection),273-98 CMV-seronegative primary infection),223-98 CMV-seronegative primary infection),251-05 CMV-seronegative primary infection),GI73 (CD4+ depl CMV-seronegative primary infection HIG standard infused),IM67 (CD4+ depl CMV-seronegative primary infection HIG standard infused),JC65 (CD4+ depl CMV-seronegative primary infection HIG standard infused),JM52 (CD4+ depl CMV-seronegative primary infection HIG highly reactive infused),HR73 (CD4+ depl CMV-seronegative primary infection HIG highly reactive infused),HD82 (CD4+ depl CMV-seronegative primary infection HIG highly reactive infused)
-34,,,,,,,,,,,,,,,,,,,,,,,,,,
-29,,,,,,,0,,,,,,,,,,,0,,,,,,,,
-28,,,,,,,,,,0,,,,,,,,,,,,,,,,
-24,,,,,,,,,0,,,,,,,,,,,,,,,,,
-22,,,,,,,,,,,,,,,,,,,,,,,,,,
-21,,,,0,,,,,,,,,,,,,,,,,,,,,,
-20,,,,,,,,,,,0,0,,,,,,,,,,,,0,,
-14,0,0,0,,,0,,,,,,,0,,,,,,,0,,0,0,0,0,0
-13,,,,,0,,,,,,,,,,,,,,,,0,,,,,
-10,,,,,,,,,,,,,,,,,,0,,,,,,,,
-9,,,,,,,,0,,,,,,,,,,,,,,,,,,
-7,0,0.02632,0,,,,,,,,,0,0,0,,,,,0,0,0,0,0,0,0,0
-1,,,,,,0,,0,,,,,,,,,,,,,0,0,0,,,
-0.04,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
0,0,0.05375,0,0,,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0.33,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1,0,0.00988,0,,,,,,,,,,,0.10203,,,,,,,,,,63.54606,0,0
2,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,0.00336,0,0,0,0
3,0,0.04554,0,,,,,,,,,,,,,,,,,,,,,0,0,0
3.04,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
4,,,,,,,,,,,,,,2.30673,,,,,,,45.46532,25.5829,5.92734,0,0,
5,0.05,0.02987,0,,,,,,,,,,13.12177,,,,,,,,,,,,,0.01643
6,,,,,0,,0,0,,,,,,,,,,,,,,,,,,
7,0,0,0.03494,0,,0,,,96.3,111.75,188.5,0.45135,40.07891,,120.06,11.966,38.136,,26.48353,41.73177,85.20572,40.39303,,0,0,
8,,,,,,,,,,,,,,,,,,,,,,,12.23325,,,
9,,,,,,,,,,,,,,17.78803,,,,,,,,154.072,,,,0.03577
10,,,,,,,,,,,,,67.47356,,21.186,10.552,102.076,,,,107.23941,,10.74232,0.0574,0.07938,
12,,,,,,,,0,,,,,,,,,,93.14425,,,,,,,,
14,0,0.00643,0,0,,0,,,1473.5,2065,4040,6.17792,184.53895,99.12127,9.58,1.57,36.542,,67.99794,44.40019,130.87721,532.77261,24.35463,0.37894,0.03996,0.76095
16,,,,,0,,0,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,2.41628,,,,,,,,
21,0,0.06807,0,0,0,0,0,,257.6,2336,7505.78958,80.7243,107.73911,433.7883,7.024,0.394,3.852,,27.35261,8.31838,56.56291,302.20424,2.44982,3.02308,1.7011,5.24602
22,,,,,,,,0,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,0.57888,,,,,,,,
27,,,,,,,,0,,,,,,,,,,,8.46995,,,,,,,
28,0,0.03793,0.02617,0,,0,0,,30.35,,,63.85925,195.38728,315.78292,,,,,,2.10818,9.3966,21.10534,0.87423,7.76847,,6.37454
29,,,,,,,,,,,,,,,,,,,,,,,,,2.59694,
35,0,0.00482,0.0415,,0,,,,,,,176.72171,11.36038,23.05936,,,,,,,5.2574,2.65597,0.27715,,13.46243,0.73683
36,,,,,,,,,,,,,,,,,,,,,,,,0.461,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,0.12166,,,,,,,,
41,,,,,,,,0,,,,,,,,,,,,,,,,,,
42,0,0.02409,0,,,0,0,,0.421,8.155,,,5.55515,5.80281,,,,,0.50398,0.26443,4.16071,,0.3715,0.89714,4.68832,0.11602
43,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,0,0,,,,,,,,,,,,,,,,,1.62251,,,,
49,0,0.03296,0,,,,,,,,,,,1.72998,,,,,,,,,,0.28545,3.77656,0
50,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,0,,,,,,,,
55,,,,,,,,0,,,,,,,,,,,,,,,,,,
56,0,0.0575,0.01675,0,0,0,0,,0.35,0.6,,,,0.43008,,,,,0.22901,,,,,0.37273,1.82551,0
58,,,,,,,,,,,,,,,,,,,,0.13816,,,,,,
63,0,0.01249,0,,,,,,,,,,,0.58551,,,,,,,,,,0.20568,1.12144,0
65,,,,,,,,,,,,,0.4117,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,0,,,,,,,,
69,,,,,,,,0,,,,,,,,,,,,,,,,,,
70,0,0,0,0,0,0,0,,0,0.442,,,,0.14555,,,,,0.18515,0.00741,,,,0,0.74161,0
76,,,,,,,,,,,,,,,,,,,,,,0.10204,,,,
77,0,0,0,,,,,,,,,,,,,,,,,,,,,0.16526,3.69446,
78,,,,,,,,,,,,,,,,,,,,,,,,,,0
79,,,,,,,,,,,,,,0.00082,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,0,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,,0,0,0,0,0,,0.1,0.42616,,,,,,,,,0.05906,0.424,,,,,,
91,,,,,,,,,,0.05089,,,,,,,,0,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,,,,,0.01,,,0,,,,,,,,,,0.103,0,0.30367,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,0,,,,,,,,,,,,,,,,,,,
106,,,,,,,,0,,,,,,,,,,,,,,,,,,
107,,,,,0,,,,,,,,,,,,,,,,,,,,,
