days,pop,immunesupressed_flow,HD79,HD79_flow,145-97,145-97_flow,396-09,396-09_flow,274-98,274-98_flow,174-97,174-97_flow,GM04,GM04_flow
0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0,0.001,0
0.166166166,0.000976373,2.76E-12,0.000975353,1.26E-16,0.000977773,1.64E-13,0.00099128,1.16E-20,0.000939485,2.50E-12,0.000976373,2.76E-12,0.000976373,2.76E-12
0.332332332,0.001003516,4.36E-10,0.000978438,3.16E-13,0.001014886,9.01E-09,0.001037374,4.62E-15,0.000904355,2.83E-09,0.001003516,4.36E-10,0.001003516,4.36E-10
0.498498498,0.001079139,2.76E-07,0.001007643,7.26E-11,0.001108926,7.05E-06,0.001137402,4.88E-11,0.000891494,2.04E-07,0.001079139,2.76E-07,0.001079139,2.76E-07
0.664664665,0.001203559,1.17E-06,0.00106215,1.28E-08,0.001261046,0.000285728,0.001293498,1.69E-08,0.000898554,9.47E-07,0.001203559,1.17E-06,0.001203559,1.17E-06
0.830830831,0.001379523,2.69E-06,0.001141881,2.76E-07,0.001475709,0.003037303,0.001510727,8.61E-07,0.000923821,2.46E-06,0.001379523,2.69E-06,0.001379523,2.69E-06
0.996996997,0.001612164,7.26E-06,0.001247434,2.68E-06,0.001760723,0.016237287,0.001797185,1.40E-05,0.000966121,5.83E-06,0.001612164,7.26E-06,0.001612163,7.26E-06
1.163163163,0.001909097,1.37E-05,0.001380065,1.57E-05,0.002127434,0.057136374,0.002164255,0.000112496,0.00102475,1.74E-05,0.001909098,1.37E-05,0.001909097,1.37E-05
1.329329329,0.002280624,2.44E-05,0.001541683,6.69E-05,0.002591126,0.152230424,0.002627023,0.000570905,0.001099414,3.17E-05,0.002280625,2.44E-05,0.002280624,2.44E-05
1.495495495,0.002740052,3.84E-05,0.001734858,0.000216487,0.00317161,0.334002267,0.003204878,0.002106619,0.001190174,4.61E-05,0.002740054,3.84E-05,0.002740052,3.84E-05
1.661661662,0.003304149,5.92E-05,0.001962854,0.000569173,0.003894043,0.636717886,0.003922295,0.006155185,0.001297431,6.37E-05,0.003304153,5.92E-05,0.003304149,5.92E-05
1.827827828,0.003993738,8.59E-05,0.002229668,0.001279323,0.004789994,1.092923638,0.004809879,0.015081425,0.001421894,9.13E-05,0.003993743,8.59E-05,0.003993737,8.59E-05
1.993993994,0.004834461,0.000119414,0.002540101,0.002476179,0.005898809,1.731566075,0.005905639,0.032277569,0.001564566,0.000119132,0.004834469,0.000119414,0.00483446,0.000119414
2.16016016,0.005857705,0.000162891,0.002899826,0.004257173,0.007269323,2.577131607,0.007256613,0.062089769,0.001726737,0.000147178,0.005857719,0.000162891,0.005857704,0.000162891
2.326326326,0.007101778,0.000214787,0.0033155,0.006664839,0.008962001,3.649641158,0.008920881,0.109688861,0.001909987,0.000184037,0.007101799,0.000214787,0.007101777,0.000214787
2.492492492,0.008613332,0.000277514,0.003794879,0.009616427,0.011051594,4.965129285,0.010970057,0.180839435,0.00211619,0.000224362,0.008613365,0.000277514,0.008613332,0.000277514
2.658658659,0.010449113,0.000352213,0.004346954,0.012919511,0.013630448,6.536318839,0.013492365,0.281653767,0.002347524,0.000265029,0.010449162,0.000352213,0.010449113,0.000352213
2.824824825,0.012678082,0.000441085,0.004982121,0.016293983,0.016812555,8.373200146,0.016596431,0.418350898,0.002606494,0.000307244,0.012678158,0.000441085,0.012678084,0.000441085
2.990990991,0.01538401,0.000545839,0.005712374,0.019436409,0.020738604,10.48365966,0.020415951,0.597108863,0.002895947,0.000356069,0.015384124,0.000545839,0.015384013,0.000545839
3.157157157,0.018668617,0.000668727,0.006551532,0.02209579,0.025582187,12.87397155,0.025115457,0.823878915,0.003219106,0.000408444,0.018668788,0.000668728,0.018668623,0.000668727
3.323323323,0.022655397,0.000813201,0.007515497,0.024173734,0.031557466,15.5491742,0.03089739,1.10430456,0.003579597,0.000464412,0.022655652,0.000813201,0.022655407,0.000813201
3.489489489,0.027494266,0.000984976,0.008622554,0.02583136,0.03892864,18.51338001,0.038010811,1.44363574,0.00398149,0.000524017,0.027494647,0.000984976,0.027494283,0.000984976
3.655655656,0.033367192,0.001190308,0.009893717,0.027568051,0.048021607,21.77003781,0.046762126,1.846661366,0.004429342,0.0005873,0.03336776,0.001190309,0.03336722,0.001190308
3.821821822,0.040495037,0.001436567,0.011353127,0.03026206,0.059238365,25.32376415,0.057528266,2.317757807,0.00492825,0.000656874,0.040495882,0.00143657,0.04049508,0.001436567
3.987987988,0.04914586,0.001733234,0.013028512,0.035127059,0.073074762,29.17374242,0.070772908,2.860864603,0.0054839,0.000732822,0.049147115,0.001733237,0.049145928,0.001733234
4.154154154,0.059645001,0.002091067,0.01495171,0.043654569,0.090142387,33.32382589,0.08706643,3.479510839,0.006102639,0.000814181,0.059646862,0.002091072,0.059645107,0.002091067
