Days post RhCMV,JP01 (CD4+ depl CMV-seropositive Reinfected),KB91 (CD4+ depl CMV-seropositive Reinfected),KK24 (CD4+ depl CMV-seropositive Reinfected),274-05 (CD4+ depl CMV-seropositive Reinfected),292-09 (CD4+ depl CMV-seropositive Reinfected),234-07 (CD4+ depl CMV-seropositive),309-09 (CD4+ depl CMV-seropositive),222-02 (CD4+ depl CMV-seropositive),145-97 (CD4+ depl CMV-seronegative primary infection),396-09 (CD4+ depl CMV-seronegative primary infection),174-97 (CD4+ depl CMV-seronegative primary infection),274-98 (CD4+ depl CMV-seronegative primary infection),GM04 (CD4+ depl CMV-seronegative primary infection),HD79 (CD4+ depl CMV-seronegative primary infection),ME72 (CMV-seronegative primary infection) male,MH81 CMV-seronegative primary infection),MI64 CMV-seronegative primary infection),273-98 CMV-seronegative primary infection),223-98 CMV-seronegative primary infection),251-05 CMV-seronegative primary infection),GI73 (CD4+ depl CMV-seronegative primary infection HIG standard infused),IM67 (CD4+ depl CMV-seronegative primary infection HIG standard infused),JC65 (CD4+ depl CMV-seronegative primary infection HIG standard infused),JM52 (CD4+ depl CMV-seronegative primary infection HIG highly reactive infused),HR73 (CD4+ depl CMV-seronegative primary infection HIG highly reactive infused),HD82 (CD4+ depl CMV-seronegative primary infection HIG highly reactive infused),Unnamed: 27
-34,,,,,,,,,,,,,,,,,,,,,,,,,,,
-29,,,,,,,0,,,,,,,,,,,0,,,,,,,,,
-28,,,,,,,,,,0,,,,,,,,,,,,,,,,,
-24,,,,,,,,,0,,,,,,,,,,,,,,,,,,
-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
-21,,,,0,,,,,,,,,,,,,,,,,,,,,,,
-20,,,,,,,,,,,0,0,,,,,,,,,,,,0,,,
-14,0,0,0,,,0,,,,,,,0,,,,,,,0,,0,0,0,0,0,
-13,,,,,0,,,,,,,,,,,,,,,,0,,,,,,
-10,,,,,,,,,,,,,,,,,,0,,,,,,,,,
-9,,,,,,,,0,,,,,,,,,,,,,,,,,,,
-7,0,26.32,0,,,,,,,,,0,0,0,,,,,0,0,0,0,0,0,0,0,
-1,,,,,,0,,0,,,,,,,,,,,,,0,0,0,,,,
-0.04,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
0,0,53.75,0,0,,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
0.33,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
1,0,9.88,0,,,,,,,,,,,102.03,,,,,,,,,,63546.06,0,0,
2,0,0,0,,,,,,,,,,0,0,0,0,0,,,,0,3.36,0,0,0,0,
3,0,45.54,0,,,,,,,,,,,,,,,,,,,,,0,0,0,
3.04,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
4,,,,,,,,,,,,,,2306.73,,,,,,,45465.32,25582.9,5927.34,0,0,,
5,50,29.87,0,,,,,,,,,,13121.77,,,,,,,,,,,,,16.43,
6,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,
7,0,0,34.94,0,,0,,,96300,111750,188500,451.35,40078.91,,120060,11966,38136,,26483.53,41731.77,85205.72,40393.03,,0,0,,
8,,,,,,,,,,,,,,,,,,,,,,,12233.25,,,,
9,,,,,,,,,,,,,,17788.03,,,,,,,,154072,,,,35.77,
10,,,,,,,,,,,,,67473.56,,21186,10552,102076,,,,107239.41,,10742.32,57.4,79.38,,
12,,,,,,,,0,,,,,,,,,,93144.25,,,,,,,,,
14,0,6.43,0,0,,0,,,1473500,2065000,4040000,6177.92,184538.95,99121.27,9580,1570,36542,,67997.94,44400.19,130877.21,532772.61,24354.63,378.94,39.96,760.95,
16,,,,,0,,0,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,2416.28,,,,,,,,,
21,0,68.07,0,0,0,0,0,,257600,2336000,7505789.58,80724.3,107739.11,433788.3,7024,394,3852,,27352.61,8318.38,56562.91,302204.24,2449.82,3023.08,1701.1,5246.02,
22,,,,,,,,0,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,578.88,,,,,,,,,
27,,,,,,,,0,,,,,,,,,,,8469.95,,,,,,,,
28,0,37.93,26.17,0,,0,0,,30350,,,63859.25,195387.28,315782.92,,,,,,2108.18,9396.6,21105.34,874.23,7768.47,,6374.54,
29,,,,,,,,,,,,,,,,,,,,,,,,,2596.94,,
35,0,4.82,41.5,,0,,,,,,,176721.71,11360.38,23059.36,,,,,,,5257.4,2655.97,277.15,,13462.43,736.83,
36,,,,,,,,,,,,,,,,,,,,,,,,461,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,121.66,,,,,,,,,
41,,,,,,,,0,,,,,,,,,,,,,,,,,,,
42,0,24.09,0,,,0,0,,421,8155,,,5555.15,5802.81,,,,,503.98,264.43,4160.71,,371.5,897.14,4688.32,116.02,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,,,0,0,,,,,,,,,,,,,,,,,1622.51,,,,,
49,0,32.96,0,,,,,,,,,,,1729.98,,,,,,,,,,285.45,3776.56,0,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,0,,,,,,,,,
55,,,,,,,,0,,,,,,,,,,,,,,,,,,,
56,0,57.5,16.75,0,0,0,0,,350,600,,,,430.08,,,,,229.01,,,,,372.73,1825.51,0,
58,,,,,,,,,,,,,,,,,,,,138.16,,,,,,,
63,0,12.49,0,,,,,,,,,,,585.51,,,,,,,,,,205.68,1121.44,0,
65,,,,,,,,,,,,,411.7,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,0,,,,,,,,,
69,,,,,,,,0,,,,,,,,,,,,,,,,,,,
70,0,0,0,0,0,0,0,,0,442,,,,145.55,,,,,185.15,7.41,,,,0,741.61,0,
76,,,,,,,,,,,,,,,,,,,,,,102.04,,,,,
77,0,0,0,,,,,,,,,,,,,,,,,,,,,165.26,3694.46,,
78,,,,,,,,,,,,,,,,,,,,,,,,,,0,
79,,,,,,,,,,,,,,0.82,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,0,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,,0,0,0,0,0,,100,426.16,,,,,,,,,59.06,424,,,,,,,
91,,,,,,,,,,50.89,,,,,,,,0,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0,,,,,10,,,0,,,,,,,,,,103,0,303.67,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,0,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,0,,,,,,,,,,,,,,,,,,,
107,,,,,0,,,,,,,,,,,,,,,,,,,,,,
