days,healthy pop,cd4 depl
0,0,0
0.166166166,3.16E-16,2.78E-16
0.332332332,3.98E-14,4.38E-14
0.498498498,2.93E-11,2.76E-11
0.664664665,1.29E-10,1.16E-10
0.830830831,3.02E-10,2.67E-10
0.996996997,6.80E-10,7.18E-10
1.163163163,1.39E-09,1.35E-09
1.329329329,2.60E-09,2.39E-09
1.495495495,4.44E-09,3.74E-09
1.661661662,7.12E-09,5.75E-09
1.827827828,1.09E-08,8.31E-09
1.993993994,1.61E-08,1.15E-08
2.16016016,2.29E-08,1.56E-08
2.326326326,3.18E-08,2.05E-08
2.492492492,4.34E-08,2.64E-08
2.658658659,5.83E-08,3.33E-08
2.824824825,7.75E-08,4.16E-08
2.990990991,1.02E-07,5.12E-08
3.157157157,1.34E-07,6.25E-08
3.323323323,1.76E-07,7.57E-08
3.489489489,2.30E-07,9.13E-08
3.655655656,3.00E-07,1.10E-07
3.821821822,3.93E-07,1.32E-07
3.987987988,5.15E-07,1.59E-07
4.154154154,6.75E-07,1.90E-07
4.32032032,8.86E-07,2.29E-07
4.486486486,1.16E-06,2.75E-07
4.652652653,1.53E-06,3.32E-07
4.818818819,2.02E-06,4.00E-07
4.984984985,2.66E-06,4.82E-07
5.151151151,3.51E-06,5.82E-07
5.317317317,4.63E-06,7.03E-07
5.483483483,6.10E-06,8.50E-07
5.64964965,8.05E-06,1.03E-06
5.815815816,1.06E-05,1.24E-06
5.981981982,1.40E-05,1.51E-06
6.148148148,1.85E-05,1.82E-06
6.314314314,2.43E-05,2.21E-06
6.48048048,3.19E-05,2.68E-06
6.646646647,4.19E-05,3.25E-06
6.812812813,5.48E-05,3.94E-06
6.978978979,7.14E-05,4.78E-06
7.145145145,9.27E-05,5.80E-06
7.311311311,0.000119854,7.03E-06
7.477477477,0.000153892,8.53E-06
7.643643644,0.000196166,1.03E-05
7.80980981,0.000247946,1.26E-05
7.975975976,0.00031039,1.52E-05
8.142142142,0.000384425,1.85E-05
8.308308308,0.000470611,2.24E-05
8.474474474,0.000569034,2.72E-05
8.640640641,0.000679243,3.30E-05
8.806806807,0.000800229,4.01E-05
8.972972973,0.000930454,4.86E-05
9.139139139,0.001067938,5.90E-05
9.305305305,0.001210402,7.16E-05
9.471471471,0.001355355,8.69E-05
9.637637638,0.001500284,0.000105386
9.803803804,0.001642791,0.000127836
9.96996997,0.001780589,0.000155056
10.13613614,0.001911834,0.000188043
10.3023023,0.002034841,0.00022801
10.46846847,0.002148308,0.000276419
10.63463463,0.002251304,0.000335025
10.8008008,0.002343138,0.000405939
10.96696697,0.002423459,0.00049169
11.13313313,0.002492101,0.000595299
11.2992993,0.002549116,0.000720367
11.46546547,0.0025948,0.000871167
11.63163163,0.002629612,0.00105276
11.7977978,0.002654127,0.001271071
11.96396396,0.002669002,0.001533014
12.13013013,0.002674876,0.001846595
12.2962963,0.002672468,0.002220984
12.46246246,0.002662496,0.002666556
12.62862863,0.002645675,0.003194902
12.79479479,0.00262274,0.00381817
12.96096096,0.002594359,0.00454963
13.12712713,0.002561205,0.005403241
13.29329329,0.002523884,0.006392548
13.45945946,0.002482966,0.007530257
